#Coor              Free    +/-
    3.350000        8.342712        0.156257
    3.450000        6.565111        0.024756
    3.550000        5.118716        0.019953
    3.650000        3.908221        0.026732
    3.750000        2.953634        0.024756
    3.850000        2.240302        0.021258
    3.950000        1.745637        0.021799
    4.050000        1.284316        0.024213
    4.150000        0.778271        0.029416
    4.250000        0.374719        0.026473
    4.350000        0.140871        0.018149
    4.450000        0.076695        0.015617
    4.550000        0.155556        0.016271
    4.650000        0.309033        0.016861
    4.750000        0.345886        0.010570
    4.850000        0.053416        0.004775
    4.950000       -0.176736        0.003199
    5.050000       -0.130900        0.002859
    5.150000        0.146415        0.002837
    5.250000        0.554011        0.003050
    5.350000        0.984804        0.003602
    5.450000        1.344270        0.004157
    5.550000        1.584721        0.004730
    5.650000        1.749556        0.005594
    5.750000        1.889515        0.006761
    5.850000        2.027492        0.006686
    5.950000        2.150942        0.005853
    6.050000        2.261942        0.005542
    6.150000        2.374687        0.005515
    6.250000        2.515307        0.005558
    6.350000        2.679418        0.005574
    6.450000        2.836147        0.005554
    6.550000        2.983335        0.005552
    6.650000        3.128160        0.005567
    6.750000        3.292481        0.005602
    6.850000        3.466026        0.005621
    6.950000        3.610481        0.005618
    7.050000        3.729839        0.005622
    7.150000        3.830223        0.005637
    7.250000        3.930095        0.005665
    7.350000        4.033765        0.005680
    7.450000        4.124171        0.005676
    7.550000        4.180572        0.005677
    7.650000        4.218428        0.005684
    7.750000        4.262224        0.005698
    7.850000        4.305108        0.005708
    7.950000        4.343420        0.005707
    8.050000        4.369717        0.005707
    8.150000        4.380473        0.005711
    8.250000        4.392909        0.005719
    8.350000        4.409657        0.005727
    8.450000        4.427205        0.005729
    8.550000        4.431294        0.005730
    8.650000        4.428152        0.005733
    8.750000        4.423452        0.005739
    8.850000        4.432649        0.005747
    8.950000        4.432019        0.005749
    9.050000        4.423888        0.005750
    9.150000        4.408787        0.005753
    9.250000        4.395847        0.005759
    9.350000        4.392597        0.005766
    9.450000        4.388213        0.005769
    9.550000        4.380206        0.005770
    9.650000        4.361518        0.005772
    9.750000        4.343540        0.005778
    9.850000        4.336844        0.005785
    9.950000        4.329914        0.005787
   10.050000        4.316168        0.005788
   10.150000        4.297485        0.005790
   10.250000        4.281432        0.005795
   10.350000        4.268273        0.005802
   10.450000        4.258675        0.005804
   10.550000        4.249432        0.005805
   10.650000        4.233292        0.005808
   10.750000        4.216671        0.005813
   10.850000        4.205531        0.005819
   10.950000        4.198182        0.005822
   11.050000        4.186103        0.005823
   11.150000        4.170703        0.005825
   11.250000        4.157154        0.005830
   11.350000        4.149963        0.005837
   11.450000        4.144726        0.005840
   11.550000        4.129080        0.005841
   11.650000        4.112578        0.005843
   11.750000        4.091475        0.005848
   11.850000        4.080198        0.005855
   11.950000        4.076315        0.005857
   12.050000        4.065782        0.005858
   12.150000        4.049877        0.005860
   12.250000        4.041082        0.005865
   12.350000        4.026906        0.005872
   12.450000        4.019396        0.005874
   12.550000        4.007585        0.005875
   12.650000        3.993306        0.005878
   12.750000        3.973313        0.005882
   12.850000        3.968320        0.005889
   12.950000        3.959095        0.005891
   13.050000        3.946526        0.005892
   13.150000        3.934589        0.005895
   13.250000        3.918021        0.005900
   13.350000        3.911261        0.005906
   13.450000        3.905890        0.005909
   13.550000        3.892551        0.005910
   13.650000        3.871441        0.005912
   13.750000        3.862582        0.005917
   13.850000        3.855789        0.005924
   13.950000        3.849677        0.005926
   14.050000        3.835465        0.005927
   14.150000        3.823461        0.005929
   14.250000        3.807843        0.005935
   14.350000        3.794964        0.005941
   14.450000        3.788842        0.005943
   14.550000        3.777923        0.005944
   14.650000        3.765189        0.005946
   14.750000        3.752003        0.005951
   14.850000        3.748948        0.005958
   14.950000        3.740918        0.005960
   15.050000        3.727269        0.005961
   15.150000        3.717509        0.005963
   15.250000        3.706075        0.005969
   15.350000        3.698021        0.005975
   15.450000        3.684725        0.005977
   15.550000        3.678042        0.005978
   15.650000        3.663137        0.005981
   15.750000        3.645894        0.005985
   15.850000        3.641696        0.005992
   15.950000        3.634478        0.005994
   16.050000        3.631334        0.005995
   16.150000        3.616979        0.005997
   16.250000        3.606106        0.006001
   16.350000        3.602608        0.006007
   16.450000        3.599289        0.006009
   16.550000        3.595556        0.006010
   16.650000        3.581315        0.006013
   16.750000        3.568816        0.006022
   16.850000        3.547513        0.006057
   16.950000        3.535265        0.006217
